Sample,Output_Q31,Output_Float
248,3,0.0000000
249,2,0.0000000
250,-2,-0.0000000
251,-5,-0.0000000
252,-4,-0.0000000
253,0,0.0000000
254,3,0.0000000
255,2,0.0000000
256,-2,-0.0000000
257,-5,-0.0000000
258,-4,-0.0000000
259,0,0.0000000
260,3,0.0000000
261,2,0.0000000
262,-2,-0.0000000
263,-5,-0.0000000
264,-4,-0.0000000
265,0,0.0000000
266,3,0.0000000
267,2,0.0000000
268,-2,-0.0000000
269,-5,-0.0000000
270,-4,-0.0000000
271,0,0.0000000
272,3,0.0000000
273,2,0.0000000
274,-2,-0.0000000
275,-5,-0.0000000
276,-4,-0.0000000
277,0,0.0000000
278,3,0.0000000
279,2,0.0000000
280,-2,-0.0000000
281,-5,-0.0000000
282,-4,-0.0000000
283,0,0.0000000
284,3,0.0000000
285,2,0.0000000
286,-2,-0.0000000
287,-5,-0.0000000
288,-4,-0.0000000
289,0,0.0000000
290,3,0.0000000
291,2,0.0000000
292,-2,-0.0000000
293,-5,-0.0000000
294,-4,-0.0000000
295,0,0.0000000
296,3,0.0000000
297,2,0.0000000
298,-2,-0.0000000
299,-5,-0.0000000
300,-4,-0.0000000
301,0,0.0000000
302,3,0.0000000
303,2,0.0000000
304,-2,-0.0000000
305,-5,-0.0000000
306,-4,-0.0000000
307,0,0.0000000
308,3,0.0000000
309,2,0.0000000
310,-2,-0.0000000
311,-5,-0.0000000
312,-4,-0.0000000
313,0,0.0000000
314,3,0.0000000
315,2,0.0000000
316,-2,-0.0000000
317,-5,-0.0000000
318,-4,-0.0000000
319,0,0.0000000
320,3,0.0000000
321,2,0.0000000
322,-2,-0.0000000
323,-5,-0.0000000
324,-4,-0.0000000
325,0,0.0000000
326,3,0.0000000
327,2,0.0000000
328,-2,-0.0000000
329,-5,-0.0000000
330,-4,-0.0000000
331,0,0.0000000
332,3,0.0000000
333,2,0.0000000
334,-2,-0.0000000
335,-5,-0.0000000
336,-4,-0.0000000
337,0,0.0000000
338,3,0.0000000
339,2,0.0000000
340,-2,-0.0000000
341,-5,-0.0000000
342,-4,-0.0000000
343,0,0.0000000
344,3,0.0000000
345,2,0.0000000
346,-2,-0.0000000
347,-5,-0.0000000
348,-4,-0.0000000
349,0,0.0000000
350,3,0.0000000
351,2,0.0000000
352,-2,-0.0000000
353,-5,-0.0000000
354,-4,-0.0000000
355,0,0.0000000
356,3,0.0000000
357,2,0.0000000
358,-2,-0.0000000
359,-5,-0.0000000
360,-4,-0.0000000
361,0,0.0000000
362,3,0.0000000
363,2,0.0000000
364,-2,-0.0000000
365,-5,-0.0000000
366,-4,-0.0000000
367,0,0.0000000
368,3,0.0000000
369,2,0.0000000
370,-2,-0.0000000
371,-5,-0.0000000
372,-4,-0.0000000
373,0,0.0000000
374,3,0.0000000
375,2,0.0000000
376,-2,-0.0000000
377,-5,-0.0000000
378,-4,-0.0000000
379,0,0.0000000
380,3,0.0000000
381,2,0.0000000
382,-2,-0.0000000
383,-5,-0.0000000
384,-4,-0.0000000
385,0,0.0000000
386,3,0.0000000
387,2,0.0000000
388,-2,-0.0000000
389,-5,-0.0000000
390,-4,-0.0000000
391,0,0.0000000
392,3,0.0000000
393,2,0.0000000
394,-2,-0.0000000
395,-5,-0.0000000
396,-4,-0.0000000
397,0,0.0000000
398,3,0.0000000
399,2,0.0000000
400,-2,-0.0000000
401,-5,-0.0000000
402,-4,-0.0000000
403,0,0.0000000
404,3,0.0000000
405,2,0.0000000
406,-2,-0.0000000
407,-5,-0.0000000
408,-4,-0.0000000
409,0,0.0000000
410,3,0.0000000
411,2,0.0000000
412,-2,-0.0000000
413,-5,-0.0000000
414,-4,-0.0000000
415,0,0.0000000
416,3,0.0000000
417,2,0.0000000
418,-2,-0.0000000
419,-5,-0.0000000
420,-4,-0.0000000
421,0,0.0000000
422,3,0.0000000
423,2,0.0000000
424,-2,-0.0000000
425,-5,-0.0000000
426,-4,-0.0000000
427,0,0.0000000
428,3,0.0000000
429,2,0.0000000
430,-2,-0.0000000
431,-5,-0.0000000
432,-4,-0.0000000
433,0,0.0000000
434,3,0.0000000
435,2,0.0000000
436,-2,-0.0000000
437,-5,-0.0000000
438,-4,-0.0000000
439,0,0.0000000
440,3,0.0000000
441,2,0.0000000
442,-2,-0.0000000
443,-5,-0.0000000
444,-4,-0.0000000
445,0,0.0000000
446,3,0.0000000
447,2,0.0000000
448,-2,-0.0000000
449,-5,-0.0000000
450,-4,-0.0000000
451,0,0.0000000
452,3,0.0000000
453,2,0.0000000
454,-2,-0.0000000
455,-5,-0.0000000
456,-4,-0.0000000
457,0,0.0000000
458,3,0.0000000
459,2,0.0000000
460,-2,-0.0000000
461,-5,-0.0000000
462,-4,-0.0000000
463,0,0.0000000
464,3,0.0000000
465,2,0.0000000
466,-2,-0.0000000
467,-5,-0.0000000
468,-4,-0.0000000
469,0,0.0000000
470,3,0.0000000
471,2,0.0000000
472,-2,-0.0000000
473,-5,-0.0000000
474,-4,-0.0000000
475,0,0.0000000
476,3,0.0000000
477,2,0.0000000
478,-2,-0.0000000
479,-5,-0.0000000
480,-4,-0.0000000
481,0,0.0000000
482,3,0.0000000
483,2,0.0000000
484,-2,-0.0000000
485,-5,-0.0000000
486,-4,-0.0000000
487,0,0.0000000
488,3,0.0000000
489,2,0.0000000
490,-2,-0.0000000
491,-5,-0.0000000
492,-4,-0.0000000
493,0,0.0000000
494,3,0.0000000
495,2,0.0000000
496,-2,-0.0000000
497,-5,-0.0000000
498,-4,-0.0000000
499,0,0.0000000
500,3,0.0000000
501,2,0.0000000
502,-2,-0.0000000
503,-5,-0.0000000
504,-4,-0.0000000
505,0,0.0000000
506,3,0.0000000
507,2,0.0000000
508,-2,-0.0000000
509,-5,-0.0000000
510,-4,-0.0000000
511,0,0.0000000
512,3,0.0000000
513,2,0.0000000
514,-2,-0.0000000
515,-5,-0.0000000
516,-4,-0.0000000
517,0,0.0000000
518,3,0.0000000
519,2,0.0000000
520,-2,-0.0000000
521,-5,-0.0000000
522,-4,-0.0000000
523,0,0.0000000
524,3,0.0000000
525,2,0.0000000
526,-2,-0.0000000
527,-5,-0.0000000
528,-4,-0.0000000
529,0,0.0000000
530,3,0.0000000
531,2,0.0000000
532,-2,-0.0000000
533,-5,-0.0000000
534,-4,-0.0000000
535,0,0.0000000
536,3,0.0000000
537,2,0.0000000
538,-2,-0.0000000
539,-5,-0.0000000
540,-4,-0.0000000
541,0,0.0000000
542,3,0.0000000
543,2,0.0000000
544,-2,-0.0000000
545,-5,-0.0000000
546,-4,-0.0000000
547,0,0.0000000
548,3,0.0000000
549,2,0.0000000
550,-2,-0.0000000
551,-5,-0.0000000
552,-4,-0.0000000
553,0,0.0000000
554,3,0.0000000
555,2,0.0000000
556,-2,-0.0000000
557,-5,-0.0000000
558,-4,-0.0000000
559,0,0.0000000
560,3,0.0000000
561,2,0.0000000
562,-2,-0.0000000
563,-5,-0.0000000
564,-4,-0.0000000
565,0,0.0000000
566,3,0.0000000
567,2,0.0000000
568,-2,-0.0000000
569,-5,-0.0000000
570,-4,-0.0000000
571,0,0.0000000
572,3,0.0000000
573,2,0.0000000
574,-2,-0.0000000
575,-5,-0.0000000
576,-4,-0.0000000
577,0,0.0000000
578,3,0.0000000
579,2,0.0000000
580,-2,-0.0000000
581,-5,-0.0000000
582,-4,-0.0000000
583,0,0.0000000
584,3,0.0000000
585,2,0.0000000
586,-2,-0.0000000
587,-5,-0.0000000
588,-4,-0.0000000
589,0,0.0000000
590,3,0.0000000
591,2,0.0000000
592,-2,-0.0000000
593,-5,-0.0000000
594,-4,-0.0000000
595,0,0.0000000
596,3,0.0000000
597,2,0.0000000
598,-2,-0.0000000
599,-5,-0.0000000
600,-4,-0.0000000
601,0,0.0000000
602,3,0.0000000
603,2,0.0000000
604,-2,-0.0000000
605,-5,-0.0000000
606,-4,-0.0000000
607,0,0.0000000
608,3,0.0000000
609,2,0.0000000
610,-2,-0.0000000
611,-5,-0.0000000
612,-4,-0.0000000
613,0,0.0000000
614,3,0.0000000
615,2,0.0000000
616,-2,-0.0000000
617,-5,-0.0000000
618,-4,-0.0000000
619,0,0.0000000
620,3,0.0000000
621,2,0.0000000
622,-2,-0.0000000
623,-5,-0.0000000
624,-4,-0.0000000
625,0,0.0000000
626,3,0.0000000
627,2,0.0000000
628,-2,-0.0000000
629,-5,-0.0000000
630,-4,-0.0000000
631,0,0.0000000
632,3,0.0000000
633,2,0.0000000
634,-2,-0.0000000
635,-5,-0.0000000
636,-4,-0.0000000
637,0,0.0000000
638,3,0.0000000
639,2,0.0000000
640,-2,-0.0000000
641,-5,-0.0000000
642,-4,-0.0000000
643,0,0.0000000
644,3,0.0000000
645,2,0.0000000
646,-2,-0.0000000
647,-5,-0.0000000
648,-4,-0.0000000
649,0,0.0000000
650,3,0.0000000
651,2,0.0000000
652,-2,-0.0000000
653,-5,-0.0000000
654,-4,-0.0000000
655,0,0.0000000
656,3,0.0000000
657,2,0.0000000
658,-2,-0.0000000
659,-5,-0.0000000
660,-4,-0.0000000
661,0,0.0000000
662,3,0.0000000
663,2,0.0000000
664,-2,-0.0000000
665,-5,-0.0000000
666,-4,-0.0000000
667,0,0.0000000
668,3,0.0000000
669,2,0.0000000
670,-2,-0.0000000
671,-5,-0.0000000
672,-4,-0.0000000
673,0,0.0000000
674,3,0.0000000
675,2,0.0000000
676,-2,-0.0000000
677,-5,-0.0000000
678,-4,-0.0000000
679,0,0.0000000
680,3,0.0000000
681,2,0.0000000
682,-2,-0.0000000
683,-5,-0.0000000
684,-4,-0.0000000
685,0,0.0000000
686,3,0.0000000
687,2,0.0000000
688,-2,-0.0000000
689,-5,-0.0000000
690,-4,-0.0000000
691,0,0.0000000
692,3,0.0000000
693,2,0.0000000
694,-2,-0.0000000
695,-5,-0.0000000
696,-4,-0.0000000
697,0,0.0000000
698,3,0.0000000
699,2,0.0000000
700,-2,-0.0000000
701,-5,-0.0000000
702,-4,-0.0000000
703,0,0.0000000
704,3,0.0000000
705,2,0.0000000
706,-2,-0.0000000
707,-5,-0.0000000
708,-4,-0.0000000
709,0,0.0000000
710,3,0.0000000
711,2,0.0000000
712,-2,-0.0000000
713,-5,-0.0000000
714,-4,-0.0000000
715,0,0.0000000
716,3,0.0000000
717,2,0.0000000
718,-2,-0.0000000
719,-5,-0.0000000
720,-4,-0.0000000
721,0,0.0000000
722,3,0.0000000
723,2,0.0000000
724,-2,-0.0000000
725,-5,-0.0000000
726,-4,-0.0000000
727,0,0.0000000
728,3,0.0000000
729,2,0.0000000
730,-2,-0.0000000
731,-5,-0.0000000
732,-4,-0.0000000
733,0,0.0000000
734,3,0.0000000
735,2,0.0000000
736,-2,-0.0000000
737,-5,-0.0000000
738,-4,-0.0000000
739,0,0.0000000
740,3,0.0000000
741,2,0.0000000
742,-2,-0.0000000
743,-5,-0.0000000
744,-4,-0.0000000
745,0,0.0000000
746,3,0.0000000
747,2,0.0000000
748,-2,-0.0000000
749,-5,-0.0000000
750,-4,-0.0000000
751,0,0.0000000
752,3,0.0000000
753,2,0.0000000
754,-2,-0.0000000
755,-5,-0.0000000
756,-4,-0.0000000
757,0,0.0000000
758,3,0.0000000
759,2,0.0000000
760,-2,-0.0000000
761,-5,-0.0000000
762,-4,-0.0000000
763,0,0.0000000
764,3,0.0000000
765,2,0.0000000
766,-2,-0.0000000
767,-5,-0.0000000
768,-4,-0.0000000
769,0,0.0000000
770,3,0.0000000
771,2,0.0000000
772,-2,-0.0000000
773,-5,-0.0000000
774,-4,-0.0000000
775,0,0.0000000
776,3,0.0000000
777,2,0.0000000
778,-2,-0.0000000
779,-5,-0.0000000
780,-4,-0.0000000
781,0,0.0000000
782,3,0.0000000
783,2,0.0000000
784,-2,-0.0000000
785,-5,-0.0000000
786,-4,-0.0000000
787,0,0.0000000
788,3,0.0000000
789,2,0.0000000
790,-2,-0.0000000
791,-5,-0.0000000
792,-4,-0.0000000
793,0,0.0000000
794,3,0.0000000
795,2,0.0000000
796,-2,-0.0000000
797,-5,-0.0000000
798,-4,-0.0000000
799,0,0.0000000
800,3,0.0000000
801,2,0.0000000
802,-2,-0.0000000
803,-5,-0.0000000
804,-4,-0.0000000
805,0,0.0000000
806,3,0.0000000
807,2,0.0000000
808,-2,-0.0000000
809,-5,-0.0000000
810,-4,-0.0000000
811,0,0.0000000
812,3,0.0000000
813,2,0.0000000
814,-2,-0.0000000
815,-5,-0.0000000
816,-4,-0.0000000
817,0,0.0000000
818,3,0.0000000
819,2,0.0000000
820,-2,-0.0000000
821,-5,-0.0000000
822,-4,-0.0000000
823,0,0.0000000
824,3,0.0000000
825,2,0.0000000
826,-2,-0.0000000
827,-5,-0.0000000
828,-4,-0.0000000
829,0,0.0000000
830,3,0.0000000
831,2,0.0000000
832,-2,-0.0000000
833,-5,-0.0000000
834,-4,-0.0000000
835,0,0.0000000
836,3,0.0000000
837,2,0.0000000
838,-2,-0.0000000
839,-5,-0.0000000
840,-4,-0.0000000
841,0,0.0000000
842,3,0.0000000
843,2,0.0000000
844,-2,-0.0000000
845,-5,-0.0000000
846,-4,-0.0000000
847,0,0.0000000
848,3,0.0000000
849,2,0.0000000
850,-2,-0.0000000
851,-5,-0.0000000
852,-4,-0.0000000
853,0,0.0000000
854,3,0.0000000
855,2,0.0000000
856,-2,-0.0000000
857,-5,-0.0000000
858,-4,-0.0000000
859,0,0.0000000
860,3,0.0000000
861,2,0.0000000
862,-2,-0.0000000
863,-5,-0.0000000
864,-4,-0.0000000
865,0,0.0000000
866,3,0.0000000
867,2,0.0000000
868,-2,-0.0000000
869,-5,-0.0000000
870,-4,-0.0000000
871,0,0.0000000
872,3,0.0000000
873,2,0.0000000
874,-2,-0.0000000
875,-5,-0.0000000
876,-4,-0.0000000
877,0,0.0000000
878,3,0.0000000
879,2,0.0000000
880,-2,-0.0000000
881,-5,-0.0000000
882,-4,-0.0000000
883,0,0.0000000
884,3,0.0000000
885,2,0.0000000
886,-2,-0.0000000
887,-5,-0.0000000
888,-4,-0.0000000
889,0,0.0000000
890,3,0.0000000
891,2,0.0000000
892,-2,-0.0000000
893,-5,-0.0000000
894,-4,-0.0000000
895,0,0.0000000
896,3,0.0000000
897,2,0.0000000
898,-2,-0.0000000
899,-5,-0.0000000
900,-4,-0.0000000
901,0,0.0000000
902,3,0.0000000
903,2,0.0000000
904,-2,-0.0000000
905,-5,-0.0000000
906,-4,-0.0000000
907,0,0.0000000
908,3,0.0000000
909,2,0.0000000
910,-2,-0.0000000
911,-5,-0.0000000
912,-4,-0.0000000
913,0,0.0000000
914,3,0.0000000
915,2,0.0000000
916,-2,-0.0000000
917,-5,-0.0000000
918,-4,-0.0000000
919,0,0.0000000
920,3,0.0000000
921,2,0.0000000
922,-2,-0.0000000
923,-5,-0.0000000
924,-4,-0.0000000
925,0,0.0000000
926,3,0.0000000
927,2,0.0000000
928,-2,-0.0000000
929,-5,-0.0000000
930,-4,-0.0000000
931,0,0.0000000
932,3,0.0000000
933,2,0.0000000
934,-2,-0.0000000
935,-5,-0.0000000
936,-4,-0.0000000
937,0,0.0000000
938,3,0.0000000
939,2,0.0000000
940,-2,-0.0000000
941,-5,-0.0000000
