Sample,Output_Q31,Output_Float
552,-1703,-0.0000008
553,2679,0.0000012
554,4393,0.0000020
555,1723,0.0000008
556,-2670,-0.0000012
557,-4406,-0.0000021
558,-1747,-0.0000008
559,2657,0.0000012
560,4415,0.0000021
561,1767,0.0000008
562,-2648,-0.0000012
563,-4428,-0.0000021
564,-1791,-0.0000008
565,2635,0.0000012
566,4437,0.0000021
567,1812,0.0000008
568,-2625,-0.0000012
569,-4451,-0.0000021
570,-1838,-0.0000009
571,2611,0.0000012
572,4461,0.0000021
573,1860,0.0000009
574,-2601,-0.0000012
575,-4474,-0.0000021
576,-1885,-0.0000009
577,2585,0.0000012
578,4481,0.0000021
579,1907,0.0000009
580,-2572,-0.0000012
581,-4492,-0.0000021
582,-1932,-0.0000009
583,2556,0.0000012
584,4498,0.0000021
585,1952,0.0000009
586,-2544,-0.0000012
587,-4508,-0.0000021
588,-1976,-0.0000009
589,2528,0.0000012
590,4514,0.0000021
591,1996,0.0000009
592,-2516,-0.0000012
593,-4524,-0.0000021
594,-2020,-0.0000009
595,2500,0.0000012
596,4530,0.0000021
597,2040,0.0000009
598,-2488,-0.0000012
599,-4540,-0.0000021
600,-2064,-0.0000010
601,2472,0.0000012
602,4546,0.0000021
603,2085,0.0000010
604,-2459,-0.0000011
605,-4556,-0.0000021
606,-2110,-0.0000010
607,2440,0.0000011
608,4560,0.0000021
609,2131,0.0000010
610,-2425,-0.0000011
611,-4567,-0.0000021
612,-2155,-0.0000010
613,2406,0.0000011
614,4570,0.0000021
615,2175,0.0000010
616,-2391,-0.0000011
617,-4577,-0.0000021
618,-2199,-0.0000010
619,2373,0.0000011
620,4581,0.0000021
621,2218,0.0000010
622,-2360,-0.0000011
623,-4589,-0.0000021
624,-2241,-0.0000010
625,2343,0.0000011
626,4592,0.0000021
627,2259,0.0000011
628,-2329,-0.0000011
629,-4598,-0.0000021
630,-2281,-0.0000011
631,2311,0.0000011
632,4600,0.0000021
633,2299,0.0000011
634,-2298,-0.0000011
635,-4606,-0.0000021
636,-2320,-0.0000011
637,2281,0.0000011
638,4607,0.0000021
639,2336,0.0000011
640,-2267,-0.0000011
641,-4611,-0.0000021
642,-2357,-0.0000011
643,2248,0.0000010
644,4610,0.0000021
645,2374,0.0000011
646,-2231,-0.0000010
647,-4613,-0.0000021
648,-2396,-0.0000011
649,2210,0.0000010
650,4612,0.0000021
651,2414,0.0000011
652,-2193,-0.0000010
653,-4615,-0.0000021
654,-2436,-0.0000011
655,2172,0.0000010
656,4614,0.0000021
657,2454,0.0000011
658,-2155,-0.0000010
659,-4617,-0.0000021
660,-2476,-0.0000012
661,2134,0.0000010
662,4616,0.0000021
663,2493,0.0000012
664,-2118,-0.0000010
665,-4618,-0.0000022
666,-2513,-0.0000012
667,2098,0.0000010
668,4616,0.0000021
669,2529,0.0000012
670,-2081,-0.0000010
671,-4617,-0.0000021
672,-2550,-0.0000012
673,2059,0.0000010
674,4614,0.0000021
675,2567,0.0000012
676,-2041,-0.0000010
677,-4615,-0.0000021
678,-2588,-0.0000012
679,2019,0.0000009
680,4612,0.0000021
681,2605,0.0000012
682,-2002,-0.0000009
683,-4614,-0.0000021
684,-2625,-0.0000012
685,1982,0.0000009
686,4612,0.0000021
687,2641,0.0000012
688,-1966,-0.0000009
689,-4614,-0.0000021
690,-2660,-0.0000012
691,1947,0.0000009
692,4611,0.0000021
693,2674,0.0000012
694,-1932,-0.0000009
695,-4612,-0.0000021
696,-2693,-0.0000013
697,1912,0.0000009
698,4609,0.0000021
699,2708,0.0000013
700,-1894,-0.0000009
701,-4608,-0.0000021
702,-2728,-0.0000013
703,1871,0.0000009
704,4603,0.0000021
705,2744,0.0000013
706,-1852,-0.0000009
707,-4601,-0.0000021
708,-2763,-0.0000013
709,1828,0.0000009
710,4594,0.0000021
711,2778,0.0000013
712,-1808,-0.0000008
713,-4591,-0.0000021
714,-2797,-0.0000013
715,1784,0.0000008
716,4584,0.0000021
717,2811,0.0000013
718,-1765,-0.0000008
719,-4580,-0.0000021
720,-2828,-0.0000013
721,1742,0.0000008
722,4572,0.0000021
723,2841,0.0000013
724,-1724,-0.0000008
725,-4569,-0.0000021
726,-2857,-0.0000013
727,1703,0.0000008
728,4562,0.0000021
729,2869,0.0000013
730,-1685,-0.0000008
731,-4558,-0.0000021
732,-2886,-0.0000013
733,1662,0.0000008
734,4550,0.0000021
735,2899,0.0000013
736,-1643,-0.0000008
737,-4546,-0.0000021
738,-2916,-0.0000014
739,1620,0.0000008
740,4538,0.0000021
741,2929,0.0000014
742,-1601,-0.0000007
743,-4534,-0.0000021
744,-2945,-0.0000014
745,1579,0.0000007
746,4525,0.0000021
747,2956,0.0000014
748,-1561,-0.0000007
749,-4520,-0.0000021
750,-2971,-0.0000014
751,1539,0.0000007
752,4511,0.0000021
753,2982,0.0000014
754,-1521,-0.0000007
755,-4506,-0.0000021
756,-2998,-0.0000014
757,1498,0.0000007
758,4498,0.0000021
759,3011,0.0000014
760,-1479,-0.0000007
761,-4494,-0.0000021
762,-3028,-0.0000014
763,1456,0.0000007
764,4485,0.0000021
765,3040,0.0000014
766,-1436,-0.0000007
767,-4479,-0.0000021
768,-3056,-0.0000014
769,1412,0.0000007
770,4469,0.0000021
771,3067,0.0000014
772,-1393,-0.0000006
773,-4462,-0.0000021
774,-3081,-0.0000014
775,1370,0.0000006
776,4451,0.0000021
777,3091,0.0000014
778,-1351,-0.0000006
779,-4444,-0.0000021
780,-3105,-0.0000014
781,1328,0.0000006
782,4433,0.0000021
783,3115,0.0000015
784,-1309,-0.0000006
785,-4426,-0.0000021
786,-3129,-0.0000015
787,1286,0.0000006
788,4415,0.0000021
789,3139,0.0000015
790,-1267,-0.0000006
791,-4408,-0.0000021
792,-3153,-0.0000015
793,1243,0.0000006
794,4396,0.0000020
795,3164,0.0000015
796,-1223,-0.0000006
797,-4389,-0.0000020
798,-3178,-0.0000015
799,1200,0.0000006
800,4378,0.0000020
801,3187,0.0000015
802,-1182,-0.0000006
803,-4370,-0.0000020
804,-3199,-0.0000015
805,1160,0.0000005
806,4358,0.0000020
807,3207,0.0000015
808,-1142,-0.0000005
809,-4350,-0.0000020
810,-3219,-0.0000015
811,1120,0.0000005
812,4338,0.0000020
813,3227,0.0000015
814,-1102,-0.0000005
815,-4329,-0.0000020
816,-3238,-0.0000015
817,1079,0.0000005
818,4315,0.0000020
819,3245,0.0000015
820,-1060,-0.0000005
821,-4305,-0.0000020
822,-3256,-0.0000015
823,1037,0.0000005
824,4291,0.0000020
825,3263,0.0000015
826,-1017,-0.0000005
827,-4280,-0.0000020
828,-3275,-0.0000015
829,993,0.0000005
830,4266,0.0000020
831,3282,0.0000015
832,-974,-0.0000005
833,-4256,-0.0000020
834,-3292,-0.0000015
835,952,0.0000004
836,4241,0.0000020
837,3297,0.0000015
838,-934,-0.0000004
839,-4230,-0.0000020
840,-3306,-0.0000015
841,912,0.0000004
842,4215,0.0000020
843,3312,0.0000015
844,-893,-0.0000004
845,-4205,-0.0000020
846,-3323,-0.0000015
847,870,0.0000004
848,4191,0.0000020
849,3330,0.0000016
850,-851,-0.0000004
851,-4181,-0.0000019
852,-3341,-0.0000016
853,828,0.0000004
854,4167,0.0000019
855,3348,0.0000016
856,-809,-0.0000004
857,-4157,-0.0000019
858,-3359,-0.0000016
859,786,0.0000004
860,4143,0.0000019
861,3366,0.0000016
862,-767,-0.0000004
863,-4133,-0.0000019
864,-3377,-0.0000016
865,744,0.0000003
866,4118,0.0000019
867,3383,0.0000016
868,-724,-0.0000003
869,-4106,-0.0000019
870,-3392,-0.0000016
871,701,0.0000003
872,4089,0.0000019
873,3396,0.0000016
874,-682,-0.0000003
875,-4076,-0.0000019
876,-3404,-0.0000016
877,659,0.0000003
878,4059,0.0000019
879,3408,0.0000016
880,-640,-0.0000003
881,-4046,-0.0000019
882,-3416,-0.0000016
883,617,0.0000003
884,4029,0.0000019
885,3420,0.0000016
886,-599,-0.0000003
887,-4017,-0.0000019
888,-3427,-0.0000016
889,578,0.0000003
890,4001,0.0000019
891,3430,0.0000016
892,-560,-0.0000003
893,-3988,-0.0000019
894,-3438,-0.0000016
895,537,0.0000003
896,3971,0.0000018
897,3442,0.0000016
898,-518,-0.0000002
899,-3958,-0.0000018
900,-3450,-0.0000016
901,495,0.0000002
902,3941,0.0000018
903,3454,0.0000016
904,-476,-0.0000002
905,-3928,-0.0000018
906,-3461,-0.0000016
907,454,0.0000002
908,3910,0.0000018
909,3463,0.0000016
910,-436,-0.0000002
911,-3895,-0.0000018
912,-3468,-0.0000016
913,414,0.0000002
914,3876,0.0000018
915,3468,0.0000016
916,-397,-0.0000002
917,-3861,-0.0000018
918,-3472,-0.0000016
919,376,0.0000002
920,3842,0.0000018
921,3472,0.0000016
922,-359,-0.0000002
923,-3827,-0.0000018
924,-3476,-0.0000016
925,338,0.0000002
926,3809,0.0000018
927,3477,0.0000016
928,-321,-0.0000001
929,-3795,-0.0000018
930,-3483,-0.0000016
931,299,0.0000001
932,3777,0.0000018
933,3485,0.0000016
934,-281,-0.0000001
935,-3763,-0.0000018
936,-3491,-0.0000016
937,259,0.0000001
938,3745,0.0000017
939,3493,0.0000016
940,-241,-0.0000001
941,-3731,-0.0000017
942,-3499,-0.0000016
943,220,0.0000001
944,3714,0.0000017
945,3500,0.0000016
946,-204,-0.0000001
947,-3701,-0.0000017
948,-3505,-0.0000016
949,184,0.0000001
950,3684,0.0000017
951,3505,0.0000016
952,-169,-0.0000001
953,-3670,-0.0000017
954,-3508,-0.0000016
955,150,0.0000001
956,3651,0.0000017
957,3506,0.0000016
958,-134,-0.0000001
959,-3635,-0.0000017
960,-3508,-0.0000016
961,114,0.0000001
962,3615,0.0000017
963,3506,0.0000016
964,-97,-0.0000000
965,-3598,-0.0000017
966,-3509,-0.0000016
967,75,0.0000000
968,3577,0.0000017
969,3508,0.0000016
970,-58,-0.0000000
971,-3561,-0.0000017
972,-3510,-0.0000016
973,38,0.0000000
